40: [0] [[]]
47: [0] [[0.4122462868690491]]
48: [0] [[0.1857418417930603]]
49: [0] [[0.06332039833068848]]
50: [0] [[0.17205190658569336]]
51: [0] [[0.050572097301483154]]
52: [0] [[0.20493727922439575]]
53: [0] [[0.038647234439849854]]
54: [0] [[3.2901763916015625e-05]]
55: [0] [[0.2908008098602295]]
56: [0] [[0.09622710943222046]]
57: [0] [[0.06092339754104614]]
58: [0] [[0.00899195671081543]]
59: [0] [[0.00041538476943969727]]
60: [0] [[0.11661261320114136]]
61: [0] [[0.0062100887298583984]]
62: [0] [[0.2187594771385193]]
63: [0] [[0.08658868074417114]]
64: [0] [[0.0]]
65: [0] [[0.46875858306884766]]
66: [0] [[0.0018721222877502441]]
67: [0] [[0.17844682931900024]]
68: [0] [[0.20789188146591187]]
69: [0] [[8.511543273925781e-05]]
70: [0] [[0.10596197843551636]]
71: [0] [[0.10857951641082764]]
72: [0] [[0.40084975957870483]]
73: [0] [[2.753734588623047e-05]]
74: [0] [[0.0]]
75: [0] [[0.3289552330970764]]
76: [0] [[0.0014856457710266113]]
77: [1] [[0.5139610469341278]]
78: [1] [[0.5183640122413635, 0.00011235475540161133]]
79: [1] [[0.5182514488697052, 1.519918441772461e-05]]
80: [0] [[0.17316490411758423, 0.5780331194400787]]
81: [0] [[0.05291283130645752, 0.454873263835907]]
82: [0] [[0.18802803754806519, 0.7031513750553131]]
83: [0] [[0.006573796272277832, 0.7323138117790222]]
84: [0] [[0.0, 0.7323138117790222]]
85: [0] [[0.13342124223709106, 0.7218822240829468]]
86: [0] [[0.02727043628692627, 0.6833261847496033]]
87: [0] [[0.36976659297943115, 0.7370298206806183]]
88: [0] [[0.17937040328979492, 0.7586753517389297]]
89: [0] [[0.0, 0.7586753517389297]]
90: [0] [[0.11985671520233154, 0.9097443968057632]]
91: [0] [[0.0005668997764587402, 0.9094100520014763]]
92: [0] [[0.08826214075088501, 0.9459289610385895]]
93: [0] [[0.002218484878540039, 0.9516392089426517]]
94: [0] [[0.0, 0.9516392089426517]]
95: [0] [[0.08439093828201294, 0.9453035332262516]]
96: [0] [[0.029358267784118652, 0.9249639138579369]]
97: [0] [[0.10004961490631104, 0.9591325968503952]]
98: [0] [[0.021095097064971924, 0.9469757899641991]]
99: [0] [[0.0, 0.9469757899641991]]
100: [0] [[0.06369751691818237, 0.921672634780407]]
101: [0] [[0.05975836515426636, 0.8804909139871597]]
102: [0] [[0.15570980310440063, 0.9456058107316494]]
103: [0] [[0.006012022495269775, 0.9724495448172092]]
104: [0] [[0.003050088882446289, 0.9974437912460417]]
105: [0] [[0.08978909254074097, 0.9459218345582485]]
106: [0] [[0.04691600799560547, 0.9441980607807636]]
107: [0] [[0.08322280645370483, 1.0231759883463383]]
108: [0] [[0.02508985996246338, 1.0560350380837917]]
109: [0] [[0.0008563995361328125, 1.0508563853800297]]
110: [0] [[0.11492472887039185, 0.9123569950461388]]
111: [0] [[0.004190683364868164, 0.9298576861619949]]
112: [0] [[0.0867343544960022, 1.0488687381148338]]
113: [0] [[0.02084064483642578, 1.0171380806714296]]
114: [0] [[0.020381927490234375, 1.0238929111510515]]
115: [0] [[0.21108591556549072, 0.901087187230587]]
116: [0] [[0.0024521350860595703, 0.9009384512901306]]
117: [0] [[0.08464926481246948, 0.9277120381593704]]
118: [0] [[0.00016880035400390625, 0.9235234037041664]]
119: [0] [[1.1920928955078125e-06, 0.9233892112970352]]
120: [0] [[0.07638126611709595, 0.9647295475006104]]
121: [0] [[0.05952310562133789, 0.8544628471136093]]
122: [0] [[0.11581575870513916, 0.95406723767519]]
123: [0] [[0.04344671964645386, 0.9975969900842756]]
124: [0] [[0.045952677726745605, 0.9773064237087965]]
125: [0] [[0.10221308469772339, 1.0040809665806592]]
126: [0] [[0.038984060287475586, 1.0280562061816454]]
127: [0] [[0.21634012460708618, 0.9890845930203795]]
128: [0] [[0.4104872941970825, 0.7672322541475296]]
129: [0] [[0.00035440921783447266, 0.7741699665784836]]
130: [0] [[0.08916932344436646, 0.8651483654975891]]
131: [0] [[0.014475107192993164, 0.8654820322990417]]
132: [0] [[0.08482503890991211, 0.8731583803892136]]
133: [0] [[0.06434476375579834, 0.8717767000198364]]
134: [0] [[0.19380998611450195, 0.911051832139492]]
135: [0] [[0.08061575889587402, 0.8392035365104675]]
136: [0] [[0.03558379411697388, 0.8799177780747414]]
137: [0] [[0.05597841739654541, 0.9138533547520638]]
138: [0] [[0.008943796157836914, 0.8577950745820999]]
139: [0] [[0.03244107961654663, 0.9217177182435989]]
140: [0] [[0.10525280237197876, 0.8792055398225784]]
141: [0] [[0.00961613655090332, 0.874335527420044]]
142: [0] [[0.02555692195892334, 0.8525562137365341]]
143: [0] [[0.0655297040939331, 0.8275278657674789]]
144: [0] [[0.007682144641876221, 0.7904657572507858]]
145: [0] [[0.10766923427581787, 0.789597675204277]]
146: [0] [[0.023977220058441162, 0.8117097169160843]]
147: [0] [[0.061693012714385986, 0.8011141717433929]]
148: [0] [[0.016946136951446533, 0.7958972901105881]]
149: [0] [[0.00589066743850708, 0.7954459637403488]]
150: [0] [[0.10476928949356079, 0.6387110948562622]]
151: [0] [[0.01978886127471924, 0.6673138737678528]]
152: [0] [[0.05720585584640503, 0.7056345045566559]]
153: [0] [[0.004300594329833984, 0.720536470413208]]
154: [0] [[0.005676150321960449, 0.7092156410217285]]
155: [0] [[0.04516279697418213, 0.8177491873502731]]
156: [0] [[0.003951668739318848, 0.8513391017913818]]
157: [0] [[0.12076032161712646, 0.6792353987693787]]
158: [0] [[0.00019216537475585938, 0.6866264641284943]]
159: [0] [[0.020052433013916016, 0.7298381328582764]]
160: [0] [[0.06436920166015625, 0.7291126251220703]]
161: [0] [[0.007221996784210205, 0.7617606222629547]]
162: [0] [[0.07680082321166992, 0.9112657830119133]]
163: [0] [[0.000901341438293457, 0.9274809285998344]]
164: [0] [[0.0002040266990661621, 0.9269712343811989]]
165: [0] [[0.06001502275466919, 0.8794976770877838]]
166: [0] [[0.011590421199798584, 0.8415663242340088]]
167: [0] [[0.044153690338134766, 0.858262836933136]]
168: [0] [[0.0017071962356567383, 0.8467610329389572]]
169: [0] [[0.0010565519332885742, 0.8493542671203613]]
170: [0] [[0.0714232325553894, 0.7781161218881607]]
171: [0] [[0.002312183380126953, 0.7883593440055847]]
172: [0] [[0.050827622413635254, 0.8578474670648575]]
173: [0] [[0.00867462158203125, 0.8538597673177719]]
174: [0] [[0.015794217586517334, 0.883242554962635]]
175: [0] [[0.03540116548538208, 0.887349084019661]]
176: [0] [[0.06884980201721191, 0.9143197759985924]]
177: [0] [[0.09420907497406006, 0.9648852869868279]]
178: [0] [[0.022592604160308838, 0.9591623097658157]]
179: [0] [[0.0110093355178833, 0.985002844594419]]
180: [0] [[0.10455119609832764, 0.9279253408312798]]
181: [0] [[0.007983148097991943, 0.9168388172984123]]
182: [0] [[0.042627692222595215, 0.9346396699547768]]
183: [0] [[0.027257442474365234, 0.9421405382454395]]
184: [0] [[0.009328961372375488, 0.9125874787569046]]
185: [0] [[0.03053504228591919, 0.9008220434188843]]
186: [0] [[0.01031041145324707, 0.8785136640071869]]
187: [0] [[0.02249312400817871, 0.8429713547229767]]
188: [0] [[0.015594720840454102, 0.8514249473810196]]
189: [0] [[0.015773773193359375, 0.8117640465497971]]
190: [0] [[0.024549484252929688, 0.8578931093215942]]
191: [0] [[0.006151378154754639, 0.8592709898948669]]
192: [0] [[0.024962544441223145, 0.9237989112734795]]
193: [0] [[0.015816688537597656, 0.9314392358064651]]
194: [0] [[0.0011475682258605957, 0.9361958727240562]]
195: [0] [[0.02035653591156006, 0.9407215416431427]]
196: [0] [[0.004781901836395264, 0.912389948964119]]
197: [0] [[0.01572948694229126, 0.9423660524189472]]
198: [0] [[0.0003063082695007324, 0.9392453655600548]]
199: [0] [[0.0051277875900268555, 0.9689269028604031]]
200: [0] [[0.012023508548736572, 0.9394678734242916]]
201: [0] [[0.00887364149093628, 0.9769337493926287]]
202: [0] [[0.008754372596740723, 0.9404275342822075]]
203: [0] [[0.002709805965423584, 0.9490502327680588]]
204: [0] [[0.0002524852752685547, 0.9537121541798115]]
205: [0] [[0.01243436336517334, 0.9207170829176903]]
206: [0] [[0.006707668304443359, 0.9258313849568367]]
207: [0] [[0.016049861907958984, 0.9639966152608395]]
208: [0] [[0.008207321166992188, 0.9377026036381721]]
209: [0] [[0.004821300506591797, 0.9362261295318604]]
210: [0] [[0.021057546138763428, 0.9958955119363964]]
211: [0] [[0.006109058856964111, 1.0039092083461583]]
212: [0] [[0.026197075843811035, 0.9296912476420403]]
213: [0] [[0.0005893111228942871, 0.9342722445726395]]
214: [0] [[0.011493444442749023, 0.9360159710049629]]
215: [0] [[0.017382562160491943, 0.920125387609005]]
216: [0] [[0.008071541786193848, 0.9103927686810493]]
217: [0] [[0.01575303077697754, 0.9298056289553642]]
218: [0] [[0.007844269275665283, 0.9388414174318314]]
219: [0] [[0.011655449867248535, 0.9589260406792164]]
220: [0] [[0.02573925256729126, 0.966888852417469]]
221: [0] [[0.017637252807617188, 0.9225327894091606]]
222: [0] [[0.06459730863571167, 0.958398312330246]]
223: [0] [[0.006076991558074951, 0.9625160619616508]]
224: [0] [[0.007640063762664795, 0.9717646297067404]]
225: [0] [[0.010187506675720215, 0.9632588662207127]]
226: [0] [[0.01296931505203247, 0.9499326385557652]]
227: [0] [[0.00824117660522461, 0.9501822777092457]]
228: [0] [[0.014984607696533203, 0.9614733420312405]]
229: [0] [[0.006769239902496338, 0.9759748708456755]]
230: [0] [[0.013664424419403076, 0.9959013015031815]]
231: [0] [[0.007382094860076904, 0.9934141333214939]]
232: [0] [[0.008064746856689453, 0.9994006529450417]]
233: [0] [[0.01056528091430664, 0.9834343250840902]]
234: [0] [[0.00624537467956543, 0.9890358364209533]]
235: [0] [[0.010401546955108643, 0.9876453718170524]]
236: [0] [[0.007950365543365479, 0.9780288394540548]]
237: [0] [[0.02094113826751709, 0.961013738065958]]
238: [0] [[0.006372988224029541, 0.9431308731436729]]
239: [0] [[0.007279634475708008, 0.9287626519799232]]
240: [0] [[0.03149223327636719, 0.9332578107714653]]
241: [0] [[0.010281980037689209, 0.9269926995038986]]
242: [0] [[0.010430395603179932, 0.9226598814129829]]
243: [0] [[0.0077849626541137695, 0.957244273275137]]
244: [0] [[0.015234291553497314, 0.9363491833209991]]
245: [0] [[0.023388445377349854, 0.9649890027940273]]
246: [0] [[0.008488237857818604, 0.9505402855575085]]
247: [0] [[0.05350464582443237, 0.9425955526530743]]
248: [0] [[0.009442389011383057, 0.9431563541293144]]
249: [0] [[0.006593823432922363, 0.9599445946514606]]
250: [0] [[0.045847296714782715, 0.8964127153158188]]
251: [0] [[0.03676420450210571, 0.9395387843251228]]
252: [0] [[0.04156899452209473, 0.8871451690793037]]
253: [0] [[0.010415971279144287, 0.9124393165111542]]
254: [0] [[0.024464428424835205, 0.9107585549354553]]
255: [0] [[0.015219032764434814, 0.9131934270262718]]
256: [0] [[0.07955676317214966, 0.881980262696743]]
257: [0] [[0.0184706449508667, 0.9248035475611687]]
258: [0] [[5.6803226470947266e-05, 0.9250041916966438]]
259: [0] [[0.0, 0.9250041916966438]]
260: [0] [[0.028925180435180664, 0.9578347392380238]]
261: [0] [[0.014505863189697266, 0.9506770521402359]]
262: [0] [[0.0072994232177734375, 0.9583198875188828]]
263: [0] [[0.009061455726623535, 0.9568765945732594]]
264: [0] [[0.0, 0.9568740762770176]]
265: [0] [[0.019279837608337402, 0.949967872351408]]
266: [0] [[0.005330264568328857, 0.9497240297496319]]
267: [0] [[0.009808361530303955, 0.9491657242178917]]
268: [0] [[0.011001408100128174, 0.9433522336184978]]
269: [0] [[0.015408933162689209, 0.9254040494561195]]
270: [0] [[0.031806111335754395, 0.954403392970562]]
271: [0] [[0.001896679401397705, 0.9439924582839012]]
272: [0] [[0.02771782875061035, 0.9220597818493843]]
273: [0] [[0.008175134658813477, 0.9388950765132904]]
274: [0] [[0.012407362461090088, 0.938028659671545]]
275: [0] [[0.01508188247680664, 0.9088292121887207]]
276: [0] [[0.006781816482543945, 0.9353364855051041]]
277: [0] [[0.012068212032318115, 0.9505273476243019]]
278: [0] [[0.010480403900146484, 0.9443656355142593]]
279: [0] [[0.0024738311767578125, 0.9616838283836842]]
280: [0] [[0.006122410297393799, 0.9899504324421287]]
281: [0] [[0.010754287242889404, 1.0130738699808717]]
282: [0] [[0.008680343627929688, 0.9863450890406966]]
283: [0] [[0.005972564220428467, 0.9681084491312504]]
284: [0] [[0.008712708950042725, 0.9582376144826412]]
285: [0] [[0.02970045804977417, 0.9622108452022076]]
286: [0] [[0.006229519844055176, 0.9628283940255642]]
287: [0] [[0.017779886722564697, 0.9217225536704063]]
288: [0] [[0.0038701891899108887, 0.9493589587509632]]
289: [0] [[0.005393922328948975, 0.9511476755142212]]
290: [0] [[0.004822731018066406, 0.9374091103672981]]
291: [0] [[0.007039248943328857, 0.9433656446635723]]
292: [0] [[0.00993722677230835, 0.9892624989151955]]
293: [0] [[0.0045989155769348145, 0.988890334032476]]
294: [0] [[0.004412472248077393, 0.9874799614772201]]
295: [0] [[0.011696696281433105, 0.9425327032804489]]
296: [0] [[0.004024982452392578, 0.9525356292724609]]
297: [0] [[0.023402154445648193, 0.9248505756258965]]
298: [0] [[0.016011536121368408, 0.919219858944416]]
299: [0] [[0.02350485324859619, 0.9429607428610325]]
300: [0] [[0.007544398307800293, 0.916276104748249]]
301: [0] [[0.007849633693695068, 0.9326203614473343]]
302: [0] [[0.005839228630065918, 0.9289954304695129]]
303: [0] [[0.004220366477966309, 0.9480391554534435]]
304: [0] [[0.009840607643127441, 0.9513252712786198]]
305: [0] [[0.00957876443862915, 0.9191743433475494]]
306: [0] [[0.012987136840820312, 0.928310252726078]]
307: [0] [[0.01237499713897705, 0.9349410459399223]]
308: [0] [[0.006372630596160889, 0.9207873642444611]]
309: [0] [[0.012220621109008789, 0.9545908309519291]]
310: [0] [[0.015510499477386475, 0.9215501844882965]]
311: [0] [[0.008256018161773682, 0.9297673851251602]]
312: [0] [[0.015153586864471436, 0.924528531730175]]
313: [0] [[0.0054738521575927734, 0.9531082846224308]]
314: [0] [[0.013180315494537354, 0.9645802341401577]]
315: [0] [[0.008296549320220947, 0.9598920680582523]]
316: [0] [[0.01226872205734253, 1.0156923476606607]]
317: [0] [[0.015385746955871582, 1.0443276800215244]]
318: [0] [[0.00759810209274292, 1.0566071569919586]]
319: [0] [[0.012125194072723389, 1.0309584252536297]]
320: [0] [[0.023034214973449707, 1.0356132090091705]]
321: [0] [[0.006303548812866211, 1.0028142931405455]]
322: [0] [[0.0039705634117126465, 0.9897382846102118]]
323: [0] [[0.018449485301971436, 1.045734167098999]]
324: [0] [[0.024580717086791992, 1.0682393461465836]]
325: [0] [[0.014810025691986084, 1.0308395251631737]]
326: [0] [[0.009491145610809326, 1.0422791726887226]]
327: [0] [[0.006651937961578369, 1.0249831676483154]]
328: [0] [[0.005596518516540527, 1.0090522095561028]]
329: [0] [[0.01347440481185913, 1.003812231356278]]
330: [0] [[0.00828862190246582, 0.9998031780123711]]
331: [0] [[0.005439579486846924, 1.008235582150519]]
332: [0] [[0.024142682552337646, 0.931899294257164]]
333: [0] [[0.013983428478240967, 0.987121163867414]]
334: [0] [[0.00728529691696167, 0.9395262226462364]]
335: [0] [[0.015664756298065186, 0.986834516748786]]
336: [0] [[0.009674310684204102, 0.9656603671610355]]
337: [0] [[0.046099305152893066, 0.9470602013170719]]
338: [0] [[0.015106558799743652, 1.027296895161271]]
339: [0] [[0.028676748275756836, 1.02198133058846]]
340: [0] [[0.01902991533279419, 1.005356811452657]]
341: [0] [[0.01693713665008545, 1.0199629087001085]]
342: [0] [[0.014463245868682861, 1.0426056049764156]]
343: [0] [[0.032917022705078125, 0.9600232727825642]]
344: [0] [[0.022937893867492676, 0.981757640838623]]
345: [0] [[0.01379406452178955, 0.9867113595828414]]
346: [0] [[0.01713317632675171, 1.017191344872117]]
347: [0] [[0.028643548488616943, 0.9974680391605943]]
348: [0] [[0.017710745334625244, 1.0005027503357269]]
349: [0] [[0.007663547992706299, 0.9961886403616518]]
350: [0] [[0.0269320011138916, 0.9667420871555805]]
351: [0] [[0.008695065975189209, 0.9800458159297705]]
352: [0] [[0.02260035276412964, 0.9399634823203087]]
353: [0] [[0.011208176612854004, 0.9572823978960514]]
354: [0] [[0.013109445571899414, 0.9719880372285843]]
355: [0] [[0.020163297653198242, 0.9816869776695967]]
356: [0] [[0.013192474842071533, 0.9691426064819098]]
357: [0] [[0.009219646453857422, 1.0111771011725068]]
358: [0] [[0.015563726425170898, 1.0327000841498375]]
359: [0] [[0.008253216743469238, 1.0545927956700325]]
360: [0] [[0.02299445867538452, 1.098993569612503]]
361: [0] [[0.008659183979034424, 1.0577738285064697]]
362: [0] [[0.005377471446990967, 1.0720869526267052]]
363: [0] [[0.016481399536132812, 1.0696353688836098]]
364: [0] [[0.009843647480010986, 1.0633729845285416]]
