93: [0] [[]]
96: [0] [[0.2525278329849243]]
97: [0] [[0.004126906394958496]]
101: [0] [[0.23139947652816772]]
102: [0] [[0.0013031363487243652]]
103: [0] [[0.11763131618499756]]
104: [0] [[0.10237157344818115]]
105: [0] [[0.0011881589889526367]]
106: [0] [[0.13537120819091797]]
107: [0] [[0.0008588433265686035]]
108: [0] [[0.1597554087638855]]
109: [0] [[0.015247881412506104]]
110: [0] [[0.0]]
111: [0] [[0.18453192710876465]]
112: [0] [[0.14235591888427734]]
113: [0] [[0.1807228922843933]]
114: [0] [[0.08276963233947754]]
115: [0] [[0.0]]
116: [0, 0] [[0.6135035455226898], [0.7516379952430725]]
117: [0, 0] [[0.6460646390914917], [0.62856724858284]]
118: [0, 0] [[0.6465547680854797], [0.6772587895393372]]
119: [0, 0] [[0.7628941684961319], [0.7694986164569855]]
120: [0, 0] [[0.7694986164569855], [0.7694986164569855]]
121: [0, 0] [[0.6566641926765442], [0.7057190835475922]]
122: [0, 0] [[0.764772355556488], [0.7562659680843353]]
123: [0, 0] [[0.8100520372390747], [0.7368442416191101]]
124: [0, 0] [[0.7421447932720184], [0.7454578876495361]]
125: [0, 0] [[0.6986618340015411], [0.6986618340015411]]
126: [0, 0] [[0.641889214515686], [0.5893149971961975]]
127: [0, 0] [[0.7880945205688477], [0.7887813746929169]]
128: [1, 0, 0] [[1.1225948333740234], [0.534826010465622, 0.9059338420629501], [0.5813372731208801, 1.1358502954244614]]
129: [1, 0, 0] [[1.1358502954244614, 0.0], [0.588537871837616, 0.9065594524145126], [0.588537871837616, 1.1358502954244614]]
130: [1, 0, 0] [[1.1358502954244614, 0.0], [0.5608130395412445, 0.7977036535739899], [0.5608130395412445, 1.1358502954244614]]
131: [1, 0, 0] [[1.229594573378563, 0.13495677709579468], [0.6146131455898285, 0.6972842216491699], [0.5989102125167847, 0.9570087902247906]]
132: [1, 0, 0] [[0.9478352516889572, 0.08668851852416992], [0.629976898431778, 0.7367667257785797], [0.629976898431778, 0.9478352516889572]]
133: [0, 1, 0] [[0.5064588785171509, 0.8925800770521164], [0.9750779774039984, 0.2317565679550171], [0.44227588176727295, 0.8831187039613724]]
134: [0, 1, 0] [[0.4799218773841858, 0.996269017457962], [0.9838801641017199, 0.0011615753173828125], [0.5786617398262024, 0.941613219678402]]
135: [0, 1, 0] [[0.4886351227760315, 0.90245521068573], [0.9074239730834961, 0.00014716386795043945], [0.4886351227760315, 0.94183699041605]]
136: [0, 1, 0] [[0.5749985575675964, 1.0102370409294963], [1.011221137829125, 0.13542520999908447], [0.7167666554450989, 1.0480108223855495]]
137: [1, 0, 0] [[1.1083182245492935, 0.1793263554573059], [0.7120498716831207, 0.8343702554702759], [0.5232664346694946, 1.1070335656404495]]
138: [0, 1] [[0.5854643881320953, 0.9168847948312759], [0.9091411232948303, 0.8492452502250671]]
139: [0, 1] [[0.013228833675384521, 0.8673213571310043], [0.8682760745286942, 0.004801332950592041]]
140: [0, 1] [[0.00659024715423584, 0.855692908167839], [0.855692908167839, 0.0]]
141: [0, 1, 0] [[0.24060624837875366, 0.959827296435833], [0.7927528321743011, 0.6481809616088867], [0.7213399410247803, 1.0000544022768736]]
142: [0, 1, 0] [[0.7613287568092346, 0.8188086152076721], [0.8573066294193268, 0.032106876373291016], [0.8259911090135574, 0.9261653274297714]]
143: [0, 1, 0] [[0.8247063606977463, 0.8911755457520485], [0.746562272310257, 0.16910117864608765], [0.8739065378904343, 0.9435696713626385]]
144: [1, 1, 0] [[0.7679636031389236, 0.7319735586643219], [0.9526639170944691, 0.7442441582679749], [0.04130983352661133, 0.8949105590581894]]
145: [1, 1, 0] [[0.7745330184698105, 0.7442441582679749], [0.8949105590581894, 0.7442441582679749], [0.00797569751739502, 0.8693196475505829]]
146: [0, 1, 0] [[0.7147123515605927, 0.7393839955329895], [0.779286116361618, 0.1576305627822876], [0.670691728591919, 0.9324862882494926]]
147: [0, 1, 0] [[0.6989001929759979, 0.8869396895170212], [0.8932182863354683, 0.0031282901763916016], [0.6717684864997864, 0.9443965926766396]]
148: [0, 1, 1] [[0.674147367477417, 0.8870149850845337], [0.9036474004387856, 0.2887996435165405], [0.7636490762233734, 0.6795693933963776]]
149: [0, 1, 1] [[0.03126025199890137, 0.7373545467853546], [0.8455944210290909, 0.6784578263759613], [0.7376684546470642, 0.67827108502388]]
150: [0, 1, 1] [[0.006012558937072754, 0.7159216105937958], [0.8907667472958565, 0.6575365364551544], [0.7115909159183502, 0.658227264881134]]
151: [0, 1, 0] [[0.06195855140686035, 0.7002128660678864], [0.8911545500159264, 0.6888073980808258], [0.8270327001810074, 1.1768434643745422]]
152: [1, 1, 0] [[0.9962031207978725, 0.821008175611496], [1.1766559183597565, 0.8210074007511139], [0.018488645553588867, 1.1589437425136566]]
153: [0, 1, 0] [[0.8377225250005722, 0.9622704982757568], [0.923815555870533, 0.17051714658737183], [0.7459852993488312, 1.204752266407013]]
154: [0, 1, 0] [[0.7280716001987457, 0.943997897207737], [0.9128145277500153, 0.19035303592681885], [0.711836963891983, 1.204069510102272]]
155: [0, 1, 0] [[0.7341404855251312, 0.8719094842672348], [0.8719094842672348, 0.0], [0.7294881045818329, 1.2028800547122955]]
156: [1, 1, 0] [[0.867965042591095, 0.8098466694355011], [1.147310346364975, 0.7312834560871124], [0.22635191679000854, 1.0801243036985397]]
157: [1, 1, 0] [[0.8601008951663971, 0.6457253992557526], [1.0965636372566223, 0.6765089333057404], [0.013344347476959229, 1.0981182977557182]]
158: [1, 1, 0] [[0.8695073425769806, 0.7799560278654099], [0.9722053166478872, 0.7780666500329971], [0.15543019771575928, 1.052722305059433]]
159: [1, 1, 0] [[0.8764825835824013, 0.8418929278850555], [1.0681795626878738, 0.6978903114795685], [0.005662739276885986, 1.0710337981581688]]
160: [1, 1, 0] [[0.7993008196353912, 0.5824542045593262], [1.0710337981581688, 0.5824542045593262], [0.0, 1.0710337981581688]]
161: [0, 1, 0] [[0.7260591983795166, 0.7464380860328674], [0.8187270164489746, 0.1379702091217041], [0.8766005486249924, 1.092757523059845]]
162: [1, 1, 0] [[0.7638547122478485, 0.7222976982593536], [1.0679893791675568, 0.7198857069015503], [0.0, 1.0679893791675568]]
163: [1, 1, 0] [[0.7571548223495483, 0.6660913527011871], [1.1646661162376404, 0.7398788034915924], [0.16406911611557007, 1.059209130704403]]
164: [0, 1, 0] [[0.6802074313163757, 0.760114774107933], [0.696493536233902, 0.048547983169555664], [0.6685281991958618, 0.9817803744226694]]
165: [1, 1, 0] [[0.7688214182853699, 0.6272564828395844], [0.9883916741237044, 0.5766067802906036], [1.0132789611816406e-05, 0.987739784643054]]
166: [1, 1, 0] [[0.894737496972084, 0.7579205185174942], [1.0525081269443035, 0.8508270680904388], [0.10515660047531128, 1.0578666105866432]]
167: [0, 1, 0] [[0.9188131541013718, 0.9812798127532005], [0.9853630596771836, 0.003291487693786621], [0.9097640216350555, 1.0535411164164543]]
168: [0, 1, 0] [[0.6189665794372559, 0.9120610356330872], [0.8251488208770752, 0.1198931336402893], [0.6141915321350098, 0.9995455070747994]]
169: [0, 1, 0] [[0.6639129519462585, 0.7768182754516602], [0.7555556744337082, 0.011140644550323486], [0.6160135567188263, 0.9794728346168995]]
170: [1, 1, 0] [[0.811666414141655, 0.739410400390625], [0.9794728346168995, 0.739410400390625], [0.24030441045761108, 0.976975966244936]]
171: [0, 1, 0] [[0.5872787833213806, 0.6730212569236755], [0.7414427697658539, 0.1657024621963501], [0.6903253495693207, 1.098595343530178]]
172: [0, 1, 0] [[0.6603600382804871, 0.8464145213365555], [0.898210234940052, 0.03237605094909668], [0.6605664491653442, 1.0957623794674873]]
173: [1, 0, 0] [[1.1374861001968384, 0.06949830055236816], [0.7345199286937714, 0.7634600400924683], [0.7107648551464081, 1.1913615018129349]]
174: [0, 1, 0] [[0.7197235524654388, 0.7226151823997498], [0.7765513509511948, 0.03025496006011963], [0.719615638256073, 1.1929457783699036]]
175: [0, 1, 0] [[0.7163904905319214, 0.7889215350151062], [0.7972177118062973, 0.0007346272468566895], [0.7150166630744934, 1.1954035460948944]]
176: [1, 1, 0] [[0.7853758633136749, 0.7569762170314789], [1.1157003417611122, 0.6863877773284912], [0.20950555801391602, 1.1096941083669662]]
177: [1, 1, 0] [[0.7292926907539368, 0.5719985961914062], [1.0333544537425041, 0.5340584814548492], [0.014862000942230225, 1.0393854193389416]]
178: [0, 1, 0] [[0.5849817395210266, 0.6188444793224335], [0.7795463353395462, 0.12234807014465332], [0.855353519320488, 1.1104792580008507]]
179: [1, 1, 0] [[0.8985663950443268, 0.702879011631012], [1.2336171567440033, 0.7336577773094177], [0.009509265422821045, 1.2462137788534164]]
180: [1, 1, 0] [[0.8414842486381531, 0.7839247584342957], [1.144300416111946, 0.6068005859851837], [0.012112021446228027, 1.1431054323911667]]
181: [1, 1, 0] [[0.8353363126516342, 0.606371134519577], [1.1344570815563202, 0.7768864780664444], [0.13955551385879517, 1.0687059834599495]]
182: [1, 1, 0] [[0.9030240401625633, 0.7378512918949127], [1.06117619946599, 0.7345966994762421], [0.03905671834945679, 1.057407770305872]]
